"Country","HIV","Energy_Consumption_per_Person"
"Albania",0,0.65565127521023
"Algeria",0.054586680849873,1.08761925022252
"Angola",3.8142680250338,0.657618232301606
"Argentina",0.021762722487566,1.93017265469479
"Armenia",0.084914872839978,0.973201146963369
"Australia",0,5.77881731283578
"Austria",0,4.02380085897368
"Azerbaijan",0.060346388268662,1.5154813200356
"Bahrain",0,8.78470750000713
"Bangladesh",0.017495052544932,0.191053023028177
"Belarus",0,2.93119579254322
"Belgium",0,5.46958157597596
"Benin",1.55082310667907,0.392489450668862
"Bolivia",0.10655057727581,0.617864844560453
"Bosnia and Herzegovina",0,1.5775687013071
"Botswana",0,1.10067208165245
"Brazil",0.047989250407909,1.29654122948752
"Brunei",0,9.43350966349966
"Bulgaria",0,2.59611957664531
"Cambodia",0.29615278162192,0.254186246856969
"Cameroon",6.19349782120073,0.340917516055683
"Canada",0,7.94584649320339
"Chile",0.011941771920118,1.80463244137912
"China",0.065678692227498,1.57483130701956
"Colombia",0.052260881967709,0.648981524196158
"Congo, Dem. Rep.",2.17631966016011,0.355988687361025
"Congo, Rep.",5.81395348837209,0.328359146571771
"Costa Rica",0,1.01446090377
"Cote d'Ivoire",4.49803981326278,0.541320704205776
"Croatia",0,2.04319418132612
"Cuba",0.008510058889608,0.932904821687944
"Cyprus",0,2.40126239437104
"Denmark",0,3.4950989520391
"Ecuador",0.22788857672902,0.784493844234154
"Egypt",0.016376480396609,0.917523723273246
"El Salvador",0.70775961909664,0.733985161905421
"Eritrea",2.46643668563644,0.13688552307307
"Estonia",0.062758880381574,4.05787234042553
"Ethiopia",2.93557575110973,0.395909373838486
"Finland",0,6.63882253149067
"France",0,4.11362153930258
"Gabon",7.43456821342774,1.37170880708262
"Georgia",0.076666538889102,0.685393389146155
"Germany",0.003003444951359,4.06895399234518
"Ghana",1.89949967945117,0.385049356572956
"Greece",0,2.7069802922357
"Guatemala",0.94330869390406,0.595795468008332
"Haiti",3.19564835422279,0.284842587537072
"Honduras",0.41678450752445,0.636409173431021
"Hungary",0,2.63577998339939
"Iceland",0,16.8684683095264
"India",0.31899269501155,0.525737714602009
"Indonesia",0.15048398968841,0.795563970713674
"Iran",0.17439355003293,2.81920322057108
"Iraq",0,0.942801998204537
"Ireland",0,3.37930506997451
"Israel",0,3.13097526269702
"Italy",0,2.94163598821965
"Jamaica",1.16412213740458,1.58665972015481
"Japan",0,3.87890711210076
"Jordan",0,1.22152652496976
"Kazakhstan",0.052585566576614,4.47904226611218
"Kenya",5.8786352271988,0.461009577376067
"Kuwait",0,10.9350650675672
"Latvia",0,1.97895850745821
"Lebanon",0.090995950680195,1.30190752631143
"Libya",0,3.97938571814193
"Lithuania",0,2.80839548377587
"Luxembourg",0,8.6097963777755
"Macedonia, FYR",0,1.4668213380209
"Malaysia",0.23790800769296,2.65458089460231
"Malta",0,2.03077315208156
"Mexico",0.038562168072477,1.63692824866747
"Moldova",0,0.798450858755774
"Mongolia",0.040291711994843,1.18311481199067
"Montenegro",0,1.31137423810167
"Morocco",0.034031968393583,0.478550723684498
"Mozambique",17.6885541227086,0.420605250549638
"Myanmar",0.65018995745816,0.318153625007579
"Namibia",7.50753306889566,0.738270658991775
"Nepal",0.38128661683975,0.332069300093083
"Netherlands",0,4.8371668932826
"New Zealand",0,4.07914216777156
"Nicaragua",0.17860970207902,0.540914089187318
"Nigeria",4.88676595033804,0.738125378611314
"Norway",0,6.25002516666625
"Oman",0,6.02556956620172
"Pakistan",0.079633782036905,0.487399250194058
"Panama",0.15682249119656,0.914719768488769
"Paraguay",0.27979126270448,0.697873694151848
"Peru",0.3136541363755,0.528553397356276
"Philippines",0.014312543916028,0.44369547787396
"Poland",0,2.56761348672429
"Portugal",0.038228857052746,2.29987941534565
"Qatar",0,15.3104307837772
"Romania",0,1.83841897937967
"Russia",0.009706482441944,4.85017759070095
"Saudi Arabia",0,5.88824579266753
"Senegal",1.50991867705604,0.261036726264755
"Serbia",0,2.29464324950229
"Singapore",0,4.92368992023805
"Slovak Republic",0,3.38548847284795
"Slovenia",0,3.82902574362445
"South Africa",30.374390546728,3.02759624111825
"Spain",0.008142046136904,3.05189880014179
"Sri Lanka",0.016416722073104,0.442296285304447
"Sudan",2.58495433118744,0.36427407931
"Sweden",0.009320272524769,5.3799591025113
"Switzerland",0,3.50133367330594
"Syria",0,1.17385156038036
"Tajikistan",0.14001607591983,0.369288802250525
"Tanzania",8.40534432894709,0.448657102366213
"Thailand",0.27947744883157,1.57695718909635
"Togo",5.41478065908033,0.443614905527021
"Trinidad and Tobago",1.92084112621948,14.5308255198942
"Tunisia",0,0.912673953663991
"Turkey",0,1.38884019495309
"Turkmenistan",0,4.4937471484606
"Ukraine",0.13951349030054,2.94314450194776
"United Arab Emirates",0,9.39784694511008
"United Kingdom",0.001345907700342,3.39436448025191
"United States",0.001363976117688,7.48793030309585
"Uruguay",0.019858606720152,1.24567553235522
"Uzbekistan",0.084946104407799,1.84971962479901
"Venezuela",0.05179399356752,2.51181449794165
"Vietnam",0.45657056592658,0.575456290537262
"Zambia",16.9208137622864,0.617251413049133
"Zimbabwe",19.9657925951029,0.744783277060522
