"Country","Injury","Years_in_School"
"Afghanistan",9.50735339907,2.6
"Albania",1.4758545849159,10.1
"Algeria",0.90277972174789,4.6
"Angola",6.2067485788588,5
"Argentina",0.9416004596287,9.7
"Armenia",1.01897847407974,11.2
"Australia",0.40407366113186,11.8
"Austria",0.31637226469813,11.8
"Azerbaijan",0.89916118520307,12
"Bahamas",1.41693234148069,10.4
"Bahrain",1.21637092157985,8.9
"Bangladesh",1.20103535720961,4.6
"Belarus",1.98328228025544,11.7
"Belgium",0.45397989037226,12
"Belize",2.01748486886348,8.4
"Benin",2.51350386535344,3.6
"Bolivia",1.49170808186129,8.3
"Bosnia and Herzegovina",0.93126127699203,9.2
"Botswana",1.5036957028189,5.1
"Brazil",0.86058575228142,6.7
"Bulgaria",0.57778817185071,11.8
"Burkina Faso",4.05528393924427,1.7
"Burundi",6.13297972008821,3.4
"Cambodia",3.03072239136452,5.3
"Cameroon",2.32291665187629,6.5
"Canada",0.33134620013877,14.1
"Cape Verde",0.83084081090063,4.9
"Central African Rep.",1.89668275382747,4.5
"Chad",2.79678750634494,2.6
"Chile",0.51349619256505,10.1
"China",2.0026762274843,7.6
"Colombia",0.9820690736432,6.5
"Comoros",1.8183513614323,4
"Congo, Dem. Rep.",3.6250049808303,7.5
"Congo, Rep.",1.78337225296696,8
"Costa Rica",0.31815048517949,8.3
"Cote d'Ivoire",1.37559394350783,4
"Croatia",0.33198956604221,10.9
"Cuba",0.4510331211492,10.4
"Cyprus",0.40318516278601,12.2
"Czech Rep.",0.439995600044,13.6
"Denmark",0.19252675319675,12.8
"Djibouti",2.10900669919775,5.2
"Dominican Rep.",0.90106968569619,7.4
"Ecuador",1.54893016995503,8.4
"Egypt",0.99846904721141,7.8
"El Salvador",1.18228027280916,7.3
"Equatorial Guinea",1.79540376635812,7.6
"Eritrea",2.54334117026653,3.8
"Estonia",0.94138320572361,11
"Ethiopia",2.6038686232861,2.2
"Fiji",1.24455507156192,9.4
"Finland",0.18640908320624,11.8
"France",0.2647198891103,10.4
"Gabon",0.70805411556455,7.5
"Gambia",2.81524158701061,3.8
"Georgia",1.05416490972515,12.4
"Germany",0.24027559610874,12.3
"Ghana",1.36943748636841,7.7
"Greece",0.28118849001781,10.6
"Guatemala",1.68337523361802,4.9
"Guinea",1.88438206802645,2.9
"Guinea-Bissau",3.72405090562147,3
"Guyana",2.71619439142564,9.2
"Haiti",1.68384678458475,4.5
"Honduras",1.15111911601991,5.8
"Hungary",0.33469238726952,11.2
"India",1.8173851724764,6.1
"Indonesia",0.82635853865116,7.2
"Iran",1.19048820105126,7.2
"Iraq",2.15240556744275,6.1
"Ireland",0.26048827079203,11.1
"Israel",0.20015440482658,12.5
"Italy",0.18867924528302,10.6
"Jamaica",1.52671755725191,9.8
"Japan",0.34723229743977,12.1
"Jordan",0.88584119862599,10.4
"Kazakhstan",1.86350101555875,11.8
"Kenya",4.25611862694201,7.5
"Korea, Rep.",0.63764072930158,13
"Kuwait",0.48422398264541,7.4
"Kyrgyzstan",1.04772120637613,11.5
"Laos",1.62542255097113,4.4
"Latvia",0.73500799861646,11.9
"Lebanon",0.94029149036201,8.7
"Lesotho",1.48280452255379,5.8
"Liberia",1.91150685873414,5.8
"Lithuania",1.14591291061879,12.2
"Luxembourg",0.36683785766691,11.5
"Macedonia, FYR",0.31470575012363,10.6
"Madagascar",1.99349857544883,5.2
"Malawi",2.16988223502882,5.7
"Malaysia",0.53937922354817,8.2
"Maldives",1.22270742358079,4.1
"Mali",4.26661749792569,1.9
"Mauritania",2.72318037828125,3
"Mauritius",0.60800353747513,8.9
"Mexico",1.52296157450797,8.2
"Moldova",2.3814293027086,11.2
"Mongolia",1.95414803174987,9
"Montenegro",0.52749571409732,11.6
"Morocco",0.91731623897248,4.6
"Mozambique",2.18596940783732,3.5
"Myanmar",27.0657505820328,5
"Namibia",0.57881207333889,6.8
"Nepal",1.05229639772977,4.1
"Netherlands",0.25395247306483,11.7
"New Zealand",0.48059593896432,12.4
"Nicaragua",1.20740158605415,5.6
"Niger",2.515817140949,1.4
"Nigeria",2.51131693506525,6.6
"Norway",0.30997606295958,13.5
"Oman",0.78215385618146,6.6
"Pakistan",1.39424699326261,5.3
"Panama",1.05498766804956,9.2
"Papua New Guinea",2.0105942852724,4.8
"Paraguay",1.0410837682027,6.8
"Peru",1.31045026611337,9.6
"Philippines",1.38250228888886,8.8
"Poland",0.37610750227008,12.3
"Portugal",0.2867164278956,7.5
"Qatar",0.86788170104813,7.7
"Romania",1.00653074600314,12.1
"Russia",1.31037512966243,12.6
"Rwanda",4.13392323210267,4
"Saint Lucia",0.32948929159802,8.8
"Samoa",1.42450142450142,9.8
"Sao Tome and Principe",2.72055965798679,5.7
"Saudi Arabia",1.48995213528765,8.3
"Senegal",1.70982340331417,3.2
"Serbia",0.22704052673402,10.7
"Sierra Leone",4.68246606892411,3.1
"Singapore",0.13446282102999,8
"Slovak Republic",0.56413896016451,12.7
"Slovenia",0.15405946695424,11.9
"Solomon Islands",1.02827763496144,6.1
"Somalia",4.57324399319072,2.7
"South Africa",1.15270395208857,8.4
"Spain",0.27072303405207,8.9
"Sri Lanka",2.7087591420621,9.1
"Sudan",2.81644277875646,5.5
"Suriname",2.04624514016779,7.6
"Swaziland",0.7134703196347,7.2
"Sweden",0.093202725247686,12.3
"Switzerland",0.24805005098807,13.4
"Syria",1.15889579595301,7.3
"Tajikistan",1.84095210931626,11.5
"Tanzania",3.2364724990163,5.6
"Thailand",0.61321242435938,7
"Togo",1.48530441690051,5.1
"Tonga",1.39811254806012,11.2
"Trinidad and Tobago",2.78016478794925,9.5
"Tunisia",1.17365152330187,8
"Turkey",1.04592345768943,8
"Turkmenistan",1.35541760416384,11.4
"Uganda",4.49362152735371,6
"Ukraine",1.88343211905732,12
"United Arab Emirates",0.5274430201707,9.3
"United Kingdom",0.22476658595707,13
"United States",0.87180806855526,13.7
"Uruguay",1.46953689729129,9.4
"Uzbekistan",0.93079242063865,11.8
"Vanuatu",1.1321822813473,6.8
"Venezuela",1.64404160227225,8.5
"Vietnam",0.60786814349169,8
"Yemen, Rep.",1.60549889282054,3.5
"Zambia",4.16983121585052,7.4
"Zimbabwe",1.67065576548335,8.2
