"Country","Meningitis","Years_in_School"
"Afghanistan",5.95697451594163,2.6
"Albania",0.15192620727075,10.1
"Algeria",0.44369173921563,4.6
"Angola",3.47045396381422,5
"Argentina",0.12042039776453,9.7
"Armenia",1.37986668364964,11.2
"Australia",0.044897073459095,11.8
"Austria",0.092275243870287,11.8
"Azerbaijan",1.03795787822099,12
"Bahamas",0.17711654268509,10.4
"Bahrain",0,8.9
"Bangladesh",1.14067742592959,4.6
"Belarus",0.2595919214994,11.7
"Belgium",0.16814070013788,12
"Belize",0.13449899125757,8.4
"Benin",2.94656390269024,3.6
"Bolivia",1.36613061578623,8.3
"Bosnia and Herzegovina",0.087305744718002,9.2
"Botswana",2.94385496749052,5.1
"Brazil",0.29888606965463,6.7
"Bulgaria",0.17883919604903,11.8
"Burkina Faso",1.95203027797355,1.7
"Burundi",3.69348073624584,3.4
"Cambodia",3.19125380570163,5.3
"Cameroon",3.41480106831448,6.5
"Canada",0.042480282069073,14.1
"Cape Verde",1.08009305417082,4.9
"Central African Rep.",3.13082564159191,4.5
"Chad",3.07365743165024,2.6
"Chile",0.099514766000979,10.1
"China",0.41045046704388,7.6
"Colombia",0.2874348508224,6.5
"Comoros",4.14957105557628,4
"Congo, Dem. Rep.",3.67697886222244,7.5
"Congo, Rep.",2.44713860721026,8
"Costa Rica",0.06628135107906,8.3
"Cote d'Ivoire",2.66252926427196,4
"Croatia",0.023713540431586,10.9
"Cuba",0.085100588896075,10.4
"Cyprus",0,12.2
"Czech Rep.",0.073332600007333,13.6
"Denmark",0.016043896099729,12.8
"Djibouti",1.44735753866512,5.2
"Dominican Rep.",0.34347705840894,7.4
"Ecuador",0.54835688775419,8.4
"Egypt",0.9146016173015,7.8
"El Salvador",0.804272294428,7.3
"Equatorial Guinea",2.43376954995212,7.6
"Eritrea",1.04370371997978,3.8
"Estonia",0.062758880381574,11
"Ethiopia",2.19747889650802,2.2
"Fiji",0.11314137014199,9.4
"Finland",0.033892560582952,11.8
"France",0.046558774466636,10.4
"Gabon",1.84599822986471,7.5
"Gambia",1.0966348042425,3.8
"Georgia",0.49833250277916,12.4
"Germany",0.070580956356941,12.3
"Ghana",0.78517940820737,7.7
"Greece",0.018745899334521,10.6
"Guatemala",1.10899523264599,4.9
"Guinea",2.59070660502689,2.9
"Guinea-Bissau",5.46296723758521,3
"Guyana",0.80751725150492,9.2
"Haiti",1.79366287923158,4.5
"Honduras",0.69960256620175,5.8
"Hungary",0.13184851619708,11.2
"India",1.11006485305417,6.1
"Indonesia",0.71829444526862,7.2
"Iran",0.32356489241647,7.2
"Iraq",1.03065483126073,6.1
"Ireland",0.14471570599557,11.1
"Israel",0.050038601206645,12.5
"Italy",0.036636746656897,10.6
"Jamaica",0.47709923664122,9.8
"Japan",0.012573871495033,12.1
"Jordan",0.28678312185733,10.4
"Kazakhstan",0.66717937594079,11.8
"Kenya",2.43908592035329,7.5
"Korea, Rep.",0.026568363720899,13
"Kuwait",0,7.4
"Kyrgyzstan",1.3470701224836,11.5
"Laos",2.56769649356309,4.4
"Latvia",0.043235764624497,11.9
"Lebanon",0.37914979450081,8.7
"Lesotho",2.10625642408209,5.8
"Liberia",2.38594561144154,5.8
"Lithuania",0.12732365673542,12.2
"Luxembourg",0,11.5
"Macedonia, FYR",0,10.6
"Madagascar",2.91603733226237,5.2
"Malawi",2.65597594587823,5.7
"Malaysia",0.023609191603119,8.2
"Maldives",0.69868995633188,4.1
"Mali",1.9581451092468,1.9
"Mauritania",2.53793001241177,3
"Mauritius",0.2210921954455,8.9
"Mexico",0.062968603561387,8.2
"Moldova",0.28933253210478,11.2
"Mongolia",1.49079334380918,9
"Montenegro",0,11.6
"Morocco",0.49346354170695,4.6
"Mozambique",2.95493776946694,3.5
"Myanmar",1.93291765633489,5
"Namibia",0.85119422549837,6.8
"Nepal",1.07279567820503,4.1
"Netherlands",0.07024217340091,11.7
"New Zealand",0.12014898474108,12.4
"Nicaragua",0.73587197256555,5.6
"Niger",3.58589320994994,1.4
"Nigeria",2.92588828007305,6.6
"Norway",0.068883569546574,13.5
"Oman",0.065179488015122,6.6
"Pakistan",1.16508907460111,5.3
"Panama",0.27087521206678,9.2
"Papua New Guinea",3.1802188454549,4.8
"Paraguay",0.48150124279375,6.8
"Peru",0.75703956475973,9.6
"Philippines",1.10966942048957,8.8
"Poland",0.048356678863296,12.3
"Portugal",0.047786071315933,7.5
"Qatar",0,7.7
"Romania",0.070223075302544,12.1
"Russia",0.18054057342016,12.6
"Rwanda",2.86595518191992,4
"Saint Lucia",0,8.8
"Samoa",0.71225071225071,9.8
"Sao Tome and Principe",3.49786241741158,5.7
"Saudi Arabia",0.079576989043772,8.3
"Senegal",0.98038381707442,3.2
"Serbia",0.078590951561777,10.7
"Sierra Leone",2.78259466870992,3.1
"Singapore",0.026892564205997,8
"Slovak Republic",0.072792123892195,12.7
"Slovenia",0,11.9
"Solomon Islands",1.67095115681234,6.1
"Somalia",3.3312844795532,2.7
"South Africa",0.55619340136547,8.4
"Spain",0.095669042108627,8.9
"Sri Lanka",0.09029197140207,9.1
"Sudan",1.91440946139583,5.5
"Suriname",0.71618579905873,7.6
"Swaziland",1.79794520547945,7.2
"Sweden",0.046601362623843,12.3
"Switzerland",0.013780558388226,13.4
"Syria",0.21686938871635,7.3
"Tajikistan",1.9394819405191,11.5
"Tanzania",3.05638620437367,5.6
"Thailand",0.037877895995487,7
"Togo",1.76262391246105,5.1
"Tonga",0,11.2
"Trinidad and Tobago",0,9.5
"Tunisia",0.92914078928065,8
"Turkey",0.52370351853102,8
"Turkmenistan",1.14758690485872,11.4
"Uganda",2.79810839412049,6
"Ukraine",0.33134453946379,12
"United Arab Emirates",0.063932487293418,9.3
"United Kingdom",0.092867631323579,13
"United States",0.036600025824614,13.7
"Uruguay",0.13901024704107,9.4
"Uzbekistan",1.13863927184922,11.8
"Vanuatu",1.27370506651571,6.8
"Venezuela",0.17543126853515,8.5
"Vietnam",0.47866269008432,8
"Yemen, Rep.",1.32885180819608,3.5
"Zambia",2.8167560114145,7.4
"Zimbabwe",2.10751503854952,8.2
