"Country","NCD","Health_Spending_per_Person"
"Afghanistan",12.0243071676821,31.80972721
"Albania",4.21052631578947,275.14252038
"Algeria",1.1869103938639,185.84823354
"Angola",6.99131675615311,148.87881676
"Argentina",2.80303865639853,698.45126835
"Armenia",2.6960472126693,142.71827452
"Australia",1.21596240618382,4229.03306558
"Austria",1.09412074874769,5153.35866142
"Azerbaijan",1.72590670448374,233.86044575
"Bahamas",3.36521431101665,1833.42556935
"Bahrain",3.57756153405839,793.46605183
"Barbados",1.04931794333683,958.17848445
"Belarus",3.2604745340325,373.3470911
"Belgium",1.24424118102028,4754.27522232
"Belize",2.55548083389375,218.95707454
"Benin",1.87269205334831,33
"Bhutan",4.068900040689,94.06479136
"Bolivia",2.80836878676946,85.35091165
"Bosnia and Herzegovina",2.64827425644607,505.60255386
"Botswana",3.43096765995298,535.99084407
"Brazil",2.7299119896472,714.98985619
"Brunei",1.67202572347267,877.06180369
"Bulgaria",2.17358407505744,474.17284604
"Burkina Faso",4.184309394718,36.5127274
"Burundi",4.06463050779054,18.31932186
"Cambodia",5.80404096318849,38.85543014
"Cameroon",2.33569553321302,63.83446755
"Canada",1.37636113903796,4622.62643606
"Cape Verde",1.66168162180126,155.65526461
"Chad",2.69847861982349,28.03009406
"Chile",2.34058729634303,764.79717839
"China",2.0499362100527,156.59905287
"Colombia",1.99135735664459,376.99900347
"Comoros",2.89071242073853,34.45666035
"Congo, Dem. Rep.",3.57372408452339,13.70413496
"Congo, Rep.",2.15124276254758,80.40646768
"Costa Rica",2.28007847711968,617.698283
"Cote d'Ivoire",1.30355881252857,71.8341187
"Croatia",1.20939056201091,1224.05169259
"Cuba",1.71903189570072,584.63866145
"Cyprus",1.31035177905453,1917.63775016
"Denmark",1.20329220747966,6345.45678188
"Djibouti",3.80448267306261,82.4769433
"Ecuador",3.4717400361061,270.06460048
"Egypt",2.40585384735632,101.23318902
"El Salvador",2.88733753699653,215.93487107
"Equatorial Guinea",1.1171401212895,750.74928627
"Eritrea",1.90063940585792,10.65961855
"Estonia",1.25517760763148,1057.76180424
"Ethiopia",3.23656925598673,14.04323536
"Fiji",3.11138767890479,153.0510915
"Finland",1.03372309778004,4253.8644363
"France",1.01498128337266,4940.96210783
"Gabon",0.78391705651789,263.33276432
"Gambia",1.554929946314,26.37122177
"Georgia",1.97416337639437,261.87692087
"Germany",1.05871434535412,4718.15917267
"Ghana",0.74552388254033,68.51149554
"Greece",1.07788921173493,3078.40821387
"Grenada",0.99403578528827,474.09007171
"Guatemala",2.80120708166358,198.5067007
"Guinea",1.80788482575203,25.97621308
"Guinea-Bissau",3.37011218318637,33.13959396
"Guyana",5.57921010130671,153.50783449
"Haiti",1.93276326578423,35.33440734
"Honduras",2.46597500285299,115.68858452
"Hungary",1.65317754924035,1118.72597813
"Iceland",1.08154877784988,4929.15294483
"India",2.75708526063505,43.12475092
"Indonesia",1.08632851768767,53.36093578
"Iran",2.54239853105863,276.56244084
"Iraq",0.92684786983878,160.73176522
"Ireland",1.56292962475217,5241.04343506
"Israel",1.65127383981929,2073.08312967
"Italy",1.29694083165415,3471.67858616
"Jamaica",3.72137404580153,272.32557757
"Japan",1.37732253914827,3253.10202246
"Jordan",2.19867060090623,329.55214282
"Kazakhstan",4.52893192141087,329.80684978
"Kenya",2.95292710226767,32.99259206
"Kuwait",2.98281973309574,1116.62940353
"Latvia",2.16178823122487,974.29906376
"Lebanon",2.09290686564448,555.76301814
"Lesotho",0.85935262102549,66.26062832
"Liberia",2.764121428817,27.47533374
"Libya",3.01849252531309,468.62516883
"Lithuania",1.94168576521518,934.40671484
"Luxembourg",0.73367571533382,8054.81635894
"Macedonia, FYR",1.79831857213505,326.64042808
"Madagascar",3.11975251515495,21.642137
"Malawi",2.10807650547064,21.2317324
"Malaysia",1.61813767064451,306.35306225
"Maldives",2.44541484716157,454.99057309
"Mali",4.42703051534987,33.62161099
"Malta",2.17391304347826,1596.18750451
"Mauritania",2.63981771363998,47.27623307
"Mauritius",2.98474463851426,395.07092927
"Mexico",4.31896282411746,597.703288
"Micronesia, Fed. Sts.",5.02152080344333,306.0551423
"Moldova",3.85034831185596,193.56839177
"Mongolia",4.37165075144043,120.31288077
"Montenegro",1.7143610708163,573.91692048
"Morocco",0.90030025477569,147.36903771
"Mozambique",2.21449197317966,18.09859681
"Myanmar",2.05844452594974,10.65229369
"Namibia",0.52774041980899,275.23664539
"Netherlands",1.09145530976798,5236.86553894
"New Zealand",0.84104289318755,2820.19798906
"Nicaragua",2.73630063585054,105.21340786
"Niger",2.98381731297069,19.45087717
"Nigeria",2.39767893133162,79.29829413
"Norway",0.94714908126539,8070.92644725
"Oman",2.08574361648389,479.01366884
"Pakistan",2.44391392731141,22.06499551
"Panama",3.70671342828222,493.08817356
"Papua New Guinea",3.95352433979043,39.89054017
"Paraguay",2.24483687518707,162.0668094
"Peru",2.95426068764153,256.32945861
"Philippines",2.88174126409282,64.67885035
"Poland",1.61457577760226,972.5138999
"Portugal",1.08952242600327,2383.88095707
"Qatar",2.33660457974498,1635.51268344
"Romania",1.80239226609864,516.84724414
"Russia",2.39038307603605,560.70749417
"Rwanda",2.7195557397266,44.07976003
"Samoa",3.79867046533713,168.19193756
"Sao Tome and Principe",9.52195880295375,82.83053087
"Saudi Arabia",3.59789578123439,581.01746674
"Senegal",1.8544353329477,65.58605669
"Serbia",1.37970781630675,673.41551388
"Sierra Leone",4.91994999395088,47.99418931
"Singapore",0.99502487562189,1434.29888612
"Slovak Republic",2.1655656857928,1398.66914518
"Slovenia",0.56488471216556,2257.5292104
"Solomon Islands",3.2133676092545,72.22520387
"South Africa",2.42361045570291,481.77771676
"Spain",1.30272738190471,3131.31302629
"Sri Lanka",2.42967486681934,67.73599135
"Sudan",2.14821279344054,96.75328571
"Suriname",4.09249028033558,403.79343468
"Swaziland",1.51255707762557,162.10472067
"Sweden",1.08115161287316,4865.99115069
"Switzerland",1.00598076234049,6998.97074141
"Syria",2.97517692645247,89.88517194
"Tajikistan",2.35434438768896,43.07761038
"Tanzania",1.8336059090886,26.75674493
"Thailand",1.55606491657137,158.41721834
"Togo",1.24088723437258,37.45616559
"Tonga",3.4952813701503,206.86163349
"Trinidad and Tobago",4.49881211140879,909.22308459
"Tunisia",2.85466281969778,246.21716072
"Turkey",2.64448023167576,623.77323607
"Turkmenistan",1.60842889027443,83.6494936
"Uganda",1.74805015989678,45.31764489
"Ukraine",3.89111844041357,259.64421464
"United Arab Emirates",1.47044720774862,1526.89647496
"United Kingdom",1.47646074727487,3801.44539817
"United States",1.66586949840233,7719.62742794
"Uruguay",3.35610453570577,720.56841515
"Uzbekistan",1.06272998705927,57.40209764
"Vanuatu",3.96263798471554,110.77253678
"Venezuela",2.56296729459922,598.30683221
"Vietnam",1.49958660949493,70.09052721
"Zambia",2.67665558152739,72.58389754
